17   VS 8  | H instead of S
D14  VS 9  | P instead of H
13   VS 4  | P instead of S
16   VS 11 | P instead of H
13   VS 2  | P instead of S
18   VS 6  | P instead of S
13   VS 8  | P instead of H
12   VS 8  | P instead of H
S15  VS 7  | P instead of H
10   VS 9  | P instead of D
11   VS 6  | P instead of D
S20  VS 8  | P instead of S
16   VS 7  | P instead of H
D20  VS 2  | P instead of S
16   VS 3  | P instead of S
10   VS 9  | H instead of D
9    VS 8  | D instead of H
15   VS 7  | S instead of H
